RT,SMILES,DOI,Formula
4.65,O=C1C(O)=C(Oc2cc(O)ccc12)c3cc(O)c(O)c(O)c3,0.0,C15H10O7
7.17875,O=C1C=C(Oc2cc(O)ccc12)c3ccc(O)cc3,0.0,C15H10O4
18.1763333333333,O=C1C=C(Oc2cccc(O)c12)c3ccccc3,0.0,C15H10O3
12.01,O=C1C=C(Oc2cc(O)ccc12)c3cccc(OC)c3,0.0,C16H12O4
6.41,O=C1C(O)=C(Oc2ccc(O)cc12)c3ccc(O)cc3O,0.0,C15H10O6
11.34,O=C1C=C(Oc2ccccc12)c3cccc(O)c3,0.0,C15H10O3
8.18,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(O)c3,0.0,C15H10O6
11.57,O=C1C=C(Oc2cc(O)ccc12)c3ccc(OC)cc3,0.0,C16H12O4
9.81,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3,0.0,C15H10O6
14.7,O=C1C=C(Oc2c(OC)c(O)c(OC)c(O)c12)c3ccc(OC)cc3,0.0,C18H16O7
20.41,O=C1C(OC)=C(Oc2cc(OC)cc(O)c12)c3ccc(OC)cc3,0.0,C18H16O6
17.25,O=C1C(O)=C(Oc2cc(OC)ccc21)c3ccc(OC)cc3,0.0,C17H14O5
13.47,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccc(OC)c(OC)c3,0.0,C18H16O7
12.04,O=C1C=C(Oc2c(OC)c(O)c(OC)c(O)c12)c3cc(O)c(OC)c(OC)c3,0.0,C19H18O9
6.78,O=C1C(O)=C(Oc2ccc(O)cc12)c3ccc(O)c(O)c3,0.0,C15H10O6
11.76,O=C1C=C(Oc2cccc(O)c12)c3ccc(O)c(O)c3,0.0,C15H10O5
14.52,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccccc3OC,0.0,C16H12O5
11.43,O=C1C=C(Oc2cc(O)c(O)c(O)c12)c3ccccc3,0.0,C15H10O5
13.52,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(OC)cc3,0.0,C16H12O5
6.07,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3cc(O)c(O)c(O)c3,0.0,C15H10O8
10.35,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccc(O)cc3,0.0,C16H12O6
10.87,O=C1C=C(Oc2ccccc12)c3ccc(O)cc3,0.0,C15H10O3
18.89,O=C1C=C(Oc2cc(OC)cc(O)c12)c3ccccc3,0.0,C16H12O4
7.97,O=C1C(O)=C(Oc2cc(O)ccc12)c3ccc(O)cc3,0.0,C15H10O5
12.68,O=C1C=C(Oc2ccccc12)c3ccccc3O,0.0,C15H10O3
8.98,O=C1C=C(Oc2cc(OC)c(O)c(O)c12)c3ccc(O)cc3,0.0,C16H12O6
16.88,O=C1C=C(Oc2ccc(OC)c(O)c12)c3c(OC)cccc3OC,0.0,C18H16O6
12.41,O=C1C=C(Oc2cc(O)ccc12)c3ccc(OC)c(OC)c3,0.0,C17H14O5
10.41,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)c(OC)c3,0.0,C16H12O6
10.57,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(OC)c(O)c3,0.0,C16H12O6
9.68061666666667,O=C1C=C(Oc2cc(O)cc(O)c12)c3ccc(O)cc3,0.0,C15H10O5
13.46,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccccc3,0.0,C16H12O5
8.8,O=C1C=C(Oc2cc(O)c(OC)c(O)c12)c3ccc(O)c(O)c3,0.0,C16H12O7
7.92,O=C1C(O)=C(Oc2ccc(O)cc12)c3cccc(O)c3O,0.0,C15H10O6
6.5,O=C1C=C(Oc2cc(O)cc(O)c12)c3cc(O)c(O)c(O)c3,0.0,C15H10O7
11.2462666666667,O=C1C=C(Oc2cc(O)ccc12)c3ccccc3,0.0,C15H10O3
11.89,O=C1C=C(Oc2cc(O)ccc12)c3ccccc3OC,0.0,C16H12O4
4.6,O=C1C=C(Oc2cc(O)ccc12)c3cc(O)c(O)c(O)c3,0.0,C15H10O6
14.71,O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccc(OC)cc3,0.0,C16H12O6
7.13,O=C1C=C(Oc2cc(O)c(O)c(O)c12)c3ccc(O)cc3,0.0,C15H10O6
